"skills","skill_count","type"
"sql","1247","programming"
"excel","767","analyst_tools"
"python","761","programming"
"tableau","592","analyst_tools"
"power bi","503","analyst_tools"
"r","408","programming"
"azure","198","cloud"
"powerpoint","184","analyst_tools"
"word","179","analyst_tools"
"looker","151","analyst_tools"
