"date","job_count"
"2023-10-24","10"
"2023-10-25","14"
"2023-10-26","3"
"2023-10-27","9"
"2023-10-28","4"
"2023-10-29","9"
"2023-10-30","6"
"2023-10-31","7"
"2023-11-01","6"
"2023-11-02","12"
"2023-11-03","6"
"2023-11-04","6"
"2023-11-05","7"
"2023-11-06","9"
"2023-11-07","4"
"2023-11-08","7"
"2023-11-09","9"
"2023-11-10","2"
"2023-11-12","3"
"2023-11-13","8"
"2023-11-14","6"
"2023-11-15","8"
"2023-11-16","13"
"2023-11-17","7"
"2023-11-18","2"
"2023-11-19","1"
"2023-11-20","4"
"2023-11-21","7"
"2023-11-22","13"
"2023-11-23","13"
"2023-11-24","6"
"2023-11-25","6"
"2023-11-26","7"
"2023-11-27","5"
"2023-11-28","8"
"2023-11-29","9"
"2023-11-30","5"
"2023-12-01","10"
"2023-12-02","3"
"2023-12-03","4"
"2023-12-04","2"
"2023-12-05","6"
"2023-12-06","7"
"2023-12-07","7"
"2023-12-08","7"
"2023-12-09","14"
"2023-12-10","2"
"2023-12-11","5"
"2023-12-12","15"
"2023-12-13","5"
"2023-12-14","1"
"2023-12-15","9"
"2023-12-16","3"
"2023-12-17","8"
"2023-12-18","7"
"2023-12-19","10"
"2023-12-20","22"
"2023-12-21","6"
"2023-12-22","22"
"2023-12-23","2"
"2023-12-24","2"
"2023-12-26","31"
"2023-12-27","2"
"2023-12-28","7"
"2023-12-30","1"
